solute,SMILES1,solvent,SMILES2,DeltaGsolv,type,eps,n,alpha,beta,gamma,phi**2,psi**2,beta**2,H,C,HC,CC,CC2,N,HN,HN2,CN,NC,NC2,NC3,O,HO,HO2,OC,CO2,ON,OO,F,Cl,Br,I,FC,ClC,BrC,IC,Si,OSi,P,HP,OP,S,HS,OS,SP,SS,TotalArea
pentylacetate,CCCCCOC(=O)C,decalin,C1CCC2CCCCC2C1,-5.44,abs,2.196,1.4528,0.0,0.0,43.82,0.0,0.0,0.0,164.048,38.675,110.491,29.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.112,0.0,0.0,17.988,7.617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,235.834
butylamine,CCCCN,decalin,C1CCC2CCCCC2C1,-3.72,abs,2.196,1.4528,0.0,0.0,43.82,0.0,0.0,0.0,132.847,19.503,71.584,15.978,0.0,11.893,18.504,0.0,1.624,38.554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,164.243
aniline,C1=CC=C(C=C1)N,decalin,C1CCC2CCCCC2C1,-5.78,abs,2.196,1.4528,0.0,0.0,43.82,0.0,0.0,0.0,88.183,59.941,42.242,80.39,0.0,10.955,18.043,0.0,2.956,13.812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,159.079
N-methylaniline,CNC1=CC=CC=C1,decalin,C1CCC2CCCCC2C1,-6.41,abs,2.196,1.4528,0.0,0.0,43.82,0.0,0.0,0.0,107.197,68.003,64.401,78.808,0.0,6.219,8.312,0.0,6.771,35.856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,181.419
benzonitrile,C1=CC=C(C=C1)C#N,decalin,C1CCC2CCCCC2C1,-5.86,abs,2.196,1.4528,0.0,0.0,43.82,0.0,0.0,0.0,63.101,76.123,42.72,93.795,0.0,27.673,0.0,0.0,9.459,6.175,0.0,17.568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,166.898
nitrobenzene,C1=CC=C(C=C1)[N+](=O)[O-],decalin,C1CCC2CCCCC2C1,-6.36,abs,2.196,1.4528,0.0,0.0,43.82,0.0,0.0,0.0,59.174,59.766,40.072,80.285,0.0,4.186,0.0,0.0,2.693,5.029,0.0,0.0,48.728,0.0,0.0,0.0,0.0,29.302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,171.855
thioanisole,CSC1=CC=CC=C1,decalin,C1CCC2CCCCC2C1,-5.54,abs,2.196,1.4528,0.0,0.0,43.82,0.0,0.0,0.0,93.536,66.551,63.235,77.787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.437,0.645,0.0,0,0.0,187.524
fluorobenzene,C1=CC=C(C=C1)F,decalin,C1CCC2CCCCC2C1,-3.44,abs,2.196,1.4528,0.0,0.0,43.82,0.0,0.0,0.0,63.896,61.31,43.258,82.369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.306,0.0,0.0,0.0,16.704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,149.511
chlorobenzene,C1=CC=C(C=C1)Cl,decalin,C1CCC2CCCCC2C1,-4.61,abs,2.196,1.4528,0.0,0.0,43.82,0.0,0.0,0.0,62.984,59.436,42.641,79.804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.791,0.0,0.0,0.0,24.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,161.211
bromobenzene,C1=CC=C(C=C1)Br,decalin,C1CCC2CCCCC2C1,-5.25,abs,2.196,1.4528,0.0,0.0,43.82,0.0,0.0,0.0,62.724,59.089,42.466,79.334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.564,0.0,0.0,0.0,29.108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,166.377
methylbenzoate,COC(=O)C1=CC=CC=C1,decalin,C1CCC2CCCCC2C1,-6.76,abs,2.196,1.4528,0.0,0.0,43.82,0.0,0.0,0.0,95.863,76.752,64.816,87.154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.902,0.0,0.0,16.187,7.725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,202.517
iodobenzene,C1=CC=C(C=C1)I,decalin,C1CCC2CCCCC2C1,-5.96,abs,2.196,1.4528,0.0,0.0,43.82,0.0,0.0,0.0,62.452,58.755,42.279,78.867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.406,0.0,0.0,0.0,36.128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,173.613
n-octane,CCCCCCCC,decane,CCCCCCCCCC,-5.18,abs,1.9846,1.4102,0.0,0.0,33.64,0.0,0.0,0.0,207.769,36.077,139.807,33.185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,243.846
benzene,C1=CC=CC=C1,decane,CCCCCCCCCC,-3.8,abs,1.9846,1.4102,0.0,0.0,33.64,0.0,0.0,0.0,77.548,65.297,52.481,87.613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,142.845
toluene,CC1=CC=CC=C1,decane,CCCCCCCCCC,-4.65,abs,1.9846,1.4102,0.0,0.0,33.64,0.0,0.0,0.0,98.561,67.889,66.586,87.814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,166.45
ethylbenzene,CCC1=CC=CC=C1,decane,CCCCCCCCCC,-5.25,abs,1.9846,1.4102,0.0,0.0,33.64,0.0,0.0,0.0,121.589,68.862,82.09,87.919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,190.451
methanol,CO,decane,CCCCCCCCCC,-1.29,abs,1.9846,1.4102,0.0,0.0,33.64,0.0,0.0,0.0,52.775,11.719,26.292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.815,9.816,0.0,0.055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,84.309
ethanol,CCO,decane,CCCCCCCCCC,-2.44,abs,1.9846,1.4102,0.0,0.0,33.64,0.0,0.0,0.0,77.419,14.671,42.861,9.102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.095,9.835,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,110.185
1-propanol,CCCO,decane,CCCCCCCCCC,-2.76,abs,1.9846,1.4102,0.0,0.0,33.64,0.0,0.0,0.0,99.3,17.234,57.569,12.949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.022,9.837,0.0,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,134.556
1-butanol,CCCCO,decane,CCCCCCCCCC,-3.77,abs,1.9846,1.4102,0.0,0.0,33.64,0.0,0.0,0.0,121.113,19.833,72.23,16.122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.032,9.834,0.0,0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,158.978
1-pentanol,CCCCCO,decane,CCCCCCCCCC,-3.92,abs,1.9846,1.4102,0.0,0.0,33.64,0.0,0.0,0.0,141.224,22.687,86.487,19.584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.012,9.06,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,182.924
phenol,C1=CC=C(C=C1)O,decane,CCCCCCCCCC,-5.5,abs,1.9846,1.4102,0.0,0.0,33.64,0.0,0.0,0.0,74.866,60.488,42.537,81.184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.392,8.575,0.0,4.305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,153.746
1-hexanol,CCCCCCO,decane,CCCCCCCCCC,-4.97,abs,1.9846,1.4102,0.0,0.0,33.64,0.0,0.0,0.0,162.885,25.384,101.054,22.886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.013,9.054,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,207.282
p-cresol,CC1=CC=C(C=C1)O,decane,CCCCCCCCCC,-6.0,abs,1.9846,1.4102,0.0,0.0,33.64,0.0,0.0,0.0,96.461,62.796,57.007,81.107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.429,8.595,0.0,4.172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,177.686
1-heptanol,CCCCCCCO,decane,CCCCCCCCCC,-5.62,abs,1.9846,1.4102,0.0,0.0,33.64,0.0,0.0,0.0,184.583,28.065,115.633,26.186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.012,9.061,0.0,0.029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,231.66
"1,4-dioxane",C1COCCO1,decane,CCCCCCCCCC,-3.97,abs,1.9846,1.4102,0.0,0.0,33.64,0.0,0.0,0.0,97.289,20.715,65.452,12.801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.312,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,146.316
acetone,CC(=O)C,decane,CCCCCCCCCC,-2.47,abs,1.9846,1.4102,0.0,0.0,33.64,0.0,0.0,0.0,73.178,26.503,49.331,20.806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.984,0.0,0.0,16.063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,124.665
2-butanone,CCC(=O)C,decane,CCCCCCCCCC,-3.3,abs,1.9846,1.4102,0.0,0.0,33.64,0.0,0.0,0.0,96.603,29.05,65.096,24.549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.451,0.0,0.0,14.418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,148.104
2-pentanone,CCCC(=O)C,decane,CCCCCCCCCC,-3.93,abs,1.9846,1.4102,0.0,0.0,33.64,0.0,0.0,0.0,118.63,31.561,79.9,27.404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.404,0.0,0.0,14.383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,172.595
2-hexanone,CCCCC(=O)C,decane,CCCCCCCCCC,-4.61,abs,1.9846,1.4102,0.0,0.0,33.64,0.0,0.0,0.0,140.285,34.231,94.453,30.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.418,0.0,0.0,14.397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,196.934
"3,3-dimethylbutanone",CC(=O)C(C)(C)C,decane,CCCCCCCCCC,-4.15,abs,1.9846,1.4102,0.0,0.0,33.64,0.0,0.0,0.0,128.508,32.389,86.601,22.495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.996,0.0,0.0,14.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,182.894
2-heptanone,CCCCCC(=O)C,decane,CCCCCCCCCC,-5.18,abs,1.9846,1.4102,0.0,0.0,33.64,0.0,0.0,0.0,162.007,36.9,109.054,33.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.416,0.0,0.0,14.388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,221.323
methylacetate,CC(=O)OC,decane,CCCCCCCCCC,-2.98,abs,1.9846,1.4102,0.0,0.0,33.64,0.0,0.0,0.0,73.933,27.914,49.895,10.989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.918,0.0,0.0,18.545,7.641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,136.765
methylpropanoate,CC(C)C(=O)[O-],decane,CCCCCCCCCC,-3.49,abs,1.9846,1.4102,0.0,0.0,33.64,0.0,0.0,0.0,97.741,30.312,65.908,14.853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.44,0.0,0.0,16.99,7.246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,160.493
ethylacetate,CCOC(=O)C,decane,CCCCCCCCCC,-3.43,abs,1.9846,1.4102,0.0,0.0,33.64,0.0,0.0,0.0,98.436,31.008,66.383,19.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.161,0.0,0.0,17.991,7.611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,162.605
propylacetate,CCCOC(=O)C,decane,CCCCCCCCCC,-4.02,abs,1.9846,1.4102,0.0,0.0,33.64,0.0,0.0,0.0,120.565,33.366,81.258,23.078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.124,0.0,0.0,17.99,7.617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,187.055
methylpentanoate,CCC(C)CC(=O)[O-],decane,CCCCCCCCCC,-4.77,abs,1.9846,1.4102,0.0,0.0,33.64,0.0,0.0,0.0,141.485,35.435,95.312,20.929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.404,0.0,0.0,16.935,7.233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,209.323
butylacetate,CCCCCC(=O)[O-],decane,CCCCCCCCCC,-4.66,abs,1.9846,1.4102,0.0,0.0,33.64,0.0,0.0,0.0,142.384,35.988,95.928,26.258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.112,0.0,0.0,17.986,7.617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,211.484
methylhexanoate,CCCCCC(=O)OC,decane,CCCCCCCCCC,-5.48,abs,1.9846,1.4102,0.0,0.0,33.64,0.0,0.0,0.0,163.165,38.119,109.887,24.226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.401,0.0,0.0,16.932,7.232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,233.686
pentylacetate,CCCCCOC(=O)C,decane,CCCCCCCCCC,-5.31,abs,1.9846,1.4102,0.0,0.0,33.64,0.0,0.0,0.0,164.048,38.675,110.491,29.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.112,0.0,0.0,17.988,7.617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,235.834
ethylamine,CCN,decane,CCCCCCCCCC,-1.92,abs,1.9846,1.4102,0.0,0.0,33.64,0.0,0.0,0.0,89.43,14.194,42.357,8.715,0.0,11.88,18.548,0.0,2.003,38.556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,115.505
propylamine,CCCN,decane,CCCCCCCCCC,-2.96,abs,1.9846,1.4102,0.0,0.0,33.64,0.0,0.0,0.0,111.065,16.847,56.953,12.735,0.0,11.893,18.496,0.0,1.615,38.555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,139.805
butylamine,CCCCN,decane,CCCCCCCCCC,-3.55,abs,1.9846,1.4102,0.0,0.0,33.64,0.0,0.0,0.0,132.847,19.503,71.584,15.978,0.0,11.893,18.504,0.0,1.624,38.554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,164.243
fluorobenzene,C1=CC=C(C=C1)F,decane,CCCCCCCCCC,-3.48,abs,1.9846,1.4102,0.0,0.0,33.64,0.0,0.0,0.0,63.896,61.31,43.258,82.369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.306,0.0,0.0,0.0,16.704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,149.511
trichloroethene,C(=C(Cl)Cl)Cl,decane,CCCCCCCCCC,-3.84,abs,1.9846,1.4102,0.0,0.0,33.64,0.0,0.0,0.0,12.099,16.89,8.202,11.69,0.178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.366,0.0,0.0,0.0,73.941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,143.354
chlorobenzene,C1=CC=C(C=C1)Cl,decane,CCCCCCCCCC,-4.93,abs,1.9846,1.4102,0.0,0.0,33.64,0.0,0.0,0.0,62.984,59.436,42.641,79.804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.791,0.0,0.0,0.0,24.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,161.211
bromobenzene,C1=CC=C(C=C1)Br,decane,CCCCCCCCCC,-5.43,abs,1.9846,1.4102,0.0,0.0,33.64,0.0,0.0,0.0,62.724,59.089,42.466,79.334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.564,0.0,0.0,0.0,29.108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,166.377
acetamide,CC(=O)N,decane,CCCCCCCCCC,-2.85,abs,1.9846,1.4102,0.0,0.0,33.64,0.0,0.0,0.0,63.737,17.985,24.864,11.153,0.0,10.183,18.852,0.0,3.805,13.311,5.014,0.0,25.349,0.0,0.0,16.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,117.254
nitromethane,C[N+](=O)[O-],decane,CCCCCCCCCC,-2.81,abs,1.9846,1.4102,0.0,0.0,33.64,0.0,0.0,0.0,36.939,11.231,24.965,0.0,0.0,4.146,0.0,0.0,4.454,14.279,0.0,0.0,53.926,0.0,0.0,0.0,0.0,32.482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,106.242
n-decane,CCCCCCCCCC,decane,CCCCCCCCCC,-6.53,abs,1.9846,1.4102,0.0,0.0,33.64,0.0,0.0,0.0,251.122,41.438,168.938,39.775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,292.56
4-methylaniline,CC1=CC=C(C=C1)N,decane,CCCCCCCCCC,-6.05,abs,1.9846,1.4102,0.0,0.0,33.64,0.0,0.0,0.0,109.535,62.375,56.555,80.397,0.0,11.032,18.05,0.0,2.943,13.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,182.942
phenol,C1=CC=C(C=C1)O,decanol,CCCCCCCCCCO,-8.58,abs,7.5305,1.4372,0.37,0.48,41.04,0.0,0.0,0.2304,74.866,60.488,42.537,81.184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.392,8.575,0.0,4.305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,153.746
o-cresol,CC1=CC=CC=C1O,decanol,CCCCCCCCCCO,-8.58,abs,7.5305,1.4372,0.37,0.48,41.04,0.0,0.0,0.2304,96.156,63.514,56.868,82.409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.657,8.542,0.0,3.438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,175.327
m-cresol,CC1=CC(=CC=C1)O,decanol,CCCCCCCCCCO,-8.01,abs,7.5305,1.4372,0.37,0.48,41.04,0.0,0.0,0.2304,96.138,62.885,56.85,81.215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.419,8.543,0.0,4.237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,177.442
p-cresol,CC1=CC=C(C=C1)O,decanol,CCCCCCCCCCO,-8.91,abs,7.5305,1.4372,0.37,0.48,41.04,0.0,0.0,0.2304,96.461,62.796,57.007,81.107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.429,8.595,0.0,4.172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,177.686
1-decanol,CCCCCCCCCCO,decanol,CCCCCCCCCCO,-9.58,abs,7.5305,1.4372,0.37,0.48,41.04,0.0,0.0,0.2304,251.184,35.975,159.669,35.946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.031,9.837,0.0,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,305.19
ethylamine,CCN,decanol,CCCCCCCCCCO,-3.91,abs,7.5305,1.4372,0.37,0.48,41.04,0.0,0.0,0.2304,89.43,14.194,42.357,8.715,0.0,11.88,18.548,0.0,2.003,38.556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,115.505
propylamine,CCCN,decanol,CCCCCCCCCCO,-4.59,abs,7.5305,1.4372,0.37,0.48,41.04,0.0,0.0,0.2304,111.065,16.847,56.953,12.735,0.0,11.893,18.496,0.0,1.615,38.555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,139.805
butylamine,CCCCN,decanol,CCCCCCCCCCO,-5.22,abs,7.5305,1.4372,0.37,0.48,41.04,0.0,0.0,0.2304,132.847,19.503,71.584,15.978,0.0,11.893,18.504,0.0,1.624,38.554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,164.243
2-methoxyethanol,COCCO,decanol,CCCCCCCCCCO,-5.41,abs,7.5305,1.4372,0.37,0.48,41.04,0.0,0.0,0.2304,97.4,18.828,56.778,5.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.503,9.266,0.0,0.696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,147.731
chlorobenzene,C1=CC=C(C=C1)Cl,decanol,CCCCCCCCCCO,-4.83,abs,7.5305,1.4372,0.37,0.48,41.04,0.0,0.0,0.2304,62.984,59.436,42.641,79.804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.791,0.0,0.0,0.0,24.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,161.211
